# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado_ate_D6-Geral_UTV-Sertoes25-ExOf-v2.pdf
# INFO_GERAL: SERTOES PETROBRAS 02/08/2025 - 20:33:02 | Resultados Oficiais | Campeonato Brasileiro Rally Raid 2025 | Geral - UTV | ACUMULADO ATÉ Dia 6: Petrolina/PE - Delmiro Gouveia/AL (1676.9km) | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;DIA 5;DIA 6;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12;COL_13;COL_14
;;;;;;;;;;;;;38;136;LEANDRO TORRES (BRA) BISSINHO ZAVATTI (BRA) CAN-AM MAVERICK R T+A RALLY TEAM;(7)UOP;08:00:00.00 (61);04:08:07.92 (31);05:08:24.98 (24);05:19:44.93 (25);04:05:10.30 (34);03:23:29.20 (20);27:34:47.33;02:30:10.00 * * *;30:04:57.33 04:53:08.01 00:15:26.87;
;;;;;;;;;;;;;39;165;VILSON THOMAS (BRA) RAFA PEREIRA (BRA) CAN-AM MAVERICK R CHICO RACING;(4)U50;04:32:27.68 (47);06:30:00.00 (55);05:19:54.34 (41);05:38:32.20 (47);04:12:35.74 (48);04:06:35.73 (39);28:38:10.60;01:48:40.00 00:06:45.00;30:20:05.69 05:08:16.37 00:15:08.36;
;;;;;;;;;;;;;40;173;DANIEL GATTO (BRA) LUCAS GATTO (BRA) CAN-AM MAVERICK X3 DANGO RACING;(2)UT3;04:37:20.80 (54);04:39:58.90 (49);05:23:29.12 (45);05:38:13.44 (46);04:13:42.90 (51);06:10:00.00 (45);29:47:23.10;01:02:30.00 00:07:08.00;30:42:45.16 05:30:55.84 00:22:39.47;
;;;;;;;;;;;;;41;164;DANIEL RIBEIRO (BRA) JEFFERSON TEIXEIRA (BRA) CAN-AM MAVERICK R CACA LEGUAS;(8)UOP;04:25:52.49 (41);04:07:05.68 (27);05:11:19.00 (33);05:21:50.90 (29);04:09:51.45 (45);07:40:00.00 (55);28:30:46.50;02:32:00.00 00:06:47.00;30:55:59.52 05:44:10.20 00:13:14.36;
;;;;;;;;;;;;;42;176;JAIME PIRES (BRA) PAULO ALCANTARA (BRA) CAN-AM MAVERICK R VARELA RALLY TEAM;(9)UOP;04:27:42.51 (43);05:30:00.00 (52);06:04:53.78 (50);05:22:31.17 (30);04:06:45.62 (41);05:40:10.00 (43);30:15:43.00;01:03:03.00 00:06:43.00;31:12:03.08 06:00:13.76 00:16:03.56;
;;;;;;;;;;;;;43;148;ALFEU DE CASTRO (BRA) LINCOLN FERREIRA (BRA) CAN-AM MAVERICK X3 MAMMOTH RALLY TYRES;(3)UT3;07:00:00.00 (59);04:09:14.40 (36);05:15:50.16 (39);05:26:46.17 (37);04:19:36.17 (54);05:43:39.00 (44);29:51:39.90;02:04:04.00 00:00:38.00;31:55:05.90 06:43:16.58 00:43:02.82;
;;;;;;;;;;;;;44;129;GUILHERME CAIO (BRA) ADEILTON DOS SANTOS (BRA) CAN-AM MAVERICK R VARELA RALLY TEAM;(9)UT1;04:24:22.08 (39);04:21:39.18 (45);05:07:29.39 (21);05:17:52.18 (21);06:20:00.00 (59);06:40:00.00 (48);29:19:12.80;03:01:03.00 00:08:53.00;32:11:22.83 06:59:33.51 00:16:16.93;
;;;;;;;;;;;;;45;108;JEAN AZEVEDO (BRA) IDALI BOSSE (BRA) CAN-AM MAVERICK R T+A RALLY TEAM;(15)ULT;04:43:46.68 (55);07:30:00.00 (58);07:40:00.00 (54);05:08:49.61 (7);04:02:38.02 (28);03:10:53.54 (4);28:22:51.80;04:00:20.00 00:07:04.00;32:16:07.85 07:04:18.53 00:04:45.02;
;;;;;;;;;;;;;46;107;PEDRO MAC DOWELL (BRA) DANIEL SPOLIDORIO (BRA) CAN-AM MAVERICK R QI RACING;(16)ULT;04:04:49.11 (8);07:30:00.00 (58);05:03:19.44 (10);05:08:55.74 (8);03:57:14.76 (6);06:40:00.00 (48);28:31:10.00;04:00:00.00 00:06:51.00;32:24:19.05 07:12:29.73 00:08:11.20;
;;;;;;;;;;;;;47;175;VINICIUS CASTRO (BRA) BERNARDO SCHAFER (BRA) CAN-AM MAVERICK R COTTON RACING/C3 RACING;(10)UT1;04:06:45.33 (12);03:59:29.94 (9);07:40:00.00 (54);05:09:33.54 (9);04:00:19.79 (21);07:40:00.00 (55);28:42:58.60;04:00:00.00 00:06:50.00;32:36:08.60 07:24:19.28 00:11:49.55;
;;;;;;;;;;;;;48;179;CLAUDIO ALENCASTRO (BRA) LUCAS ALENCASTRO (BRA) POLARIS RZR PRO R MAMMOTH RALLY TYRES;(4)UT3;04:20:18.65 (34);04:08:30.94 (33);05:28:26.21 (47);11:01:15.92 (53);04:05:25.70 (35);03:38:09.39 (36);27:50:35.80;05:00:31.00 00:09:00.00;32:42:06.81 07:30:17.49 00:05:58.21;
;;;;;;;;;;;;;49;110;JORGE WAGENFUHR (BRA) GUSTAVO BORTOLANZA (BRA) CAN-AM MAVERICK R LIFESIL/MRP PERFORMANCE;(10)UOP;04:05:27.25 (10);03:54:33.89 (7);04:59:57.08 (5);12:40:00.00 (55);03:57:55.86 (9);03:13:14.50 (6);26:28:26.58;06:30:20.00 00:07:38.00;32:51:08.58 07:39:19.26 00:09:01.77;
;;;;;;;;;;;;;50;183;GLAUCO LO GUIDICE (BRA) CAIO SPOLIDORIO (BRA) CAN-AM MAVERICK R IVECO USUAL RACING;(11)UOP;04:36:16.68 (50);06:00:00.00 (53);05:21:56.01 (44);05:44:31.60 (50);04:29:38.35 (57);06:40:00.00 (48);29:45:53.60;03:13:30.00 00:07:01.00;32:52:22.64 07:40:33.32 00:01:14.06;
